,name,state,district,party,served
0,"Westerman, Bruce",Arkansas,4,Republican,House: 2015-Present
2,"Wexton, Jennifer",Virginia,10,Democratic,House: 2019-Present
4,"Wild, Susan",Pennsylvania,7,Democratic,House: 2018-Present
6,"Williams, Nikema",Georgia,5,Democratic,House: 2021-Present
8,"Williams, Roger",Texas,25,Republican,House: 2013-Present
10,"Wilson, Frederica S.",Florida,24,Democratic,House: 2011-Present
12,"Wilson, Joe",South Carolina,2,Republican,House: 2001-Present
14,"Wittman, Robert J.",Virginia,1,Republican,House: 2007-Present
16,"Womack, Steve",Arkansas,3,Republican,House: 2011-Present
18,"Woodall, Rob",Georgia,7,Republican,House: 2011-2021
20,"Wright, Ron",Texas,6,Republican,House: 2019-2021
22,"Yarmuth, John A.",Kentucky,3,Democratic,House: 2007-Present
24,"Yoho, Ted S.",Florida,3,Republican,House: 2013-2021
26,"Young, Don",Alaska,At Large,Republican,House: 1973-Present
28,"Zeldin, Lee M.",New York,1,Republican,House: 2015-Present
